Wojewodztwo;Rok;Gestosc zaludnienia na km2;Populacja;Ilosc malzenstw;Ilosc malzenstw koscielnych;Malzenstwa kobieta <=19 lat;Malzenstwa kobieta 20-24 lat;Malzenstwa kobieta 25-29 lat;Malzenstwa kobieta 30-39 lat;Malzenstwa kobieta 40-49 lat;Malzenstwa kobieta >=50 lat;Malzenstwa mezczyzna <=19 lat;Malzenstwa mezczyzna 20-24 lat;Malzenstwa mezczyzna 25-29 lat;Malzenstwa mezczyzna 30-39 lat;Malzenstwa mezczyzna 40-49 lat;Malzenstwa mezczyzna >=50 lat;Malzenstwa kobieta pochodzi ze wsi;Malzenstwa mezczyzna pochodzi ze wsi;Ilosc rozwodow;Rozwody zainicjowane przez osoby ze wsi;Rozwody zainicjowane przez kobiety <=24 lat;Rozwody zainicjowane przez kobiety 25-29 lat;Rozwody zainicjowane przez kobiety 30-39 lat;Rozwody zainicjowane przez kobiety 40-49 lat;Rozwody zainicjowane przez kobiety >=50 lat;Rozwody zainicjowane przez mezczyzn <=24 lat;Rozwody zainicjowane przez mezczyzn 25-29 lat;Rozwody zainicjowane przez mezczyzn 30-39 lat;Rozwody zainicjowane przez mezczyzn 40-49 lat;Rozwody zainicjowane przez mezczyzn >=50 lat;srednie zarobki;Ilosc zatrudnionych kobiet;Wspolczynnik feminizacji;Dzietnosc;Zgony niemowlat na 1000 urodzonych;Rozwody przy braku dzieci;Rozwody przy 1 dziecku;Rozwody przy 2 dzieciach;Rozwody przy 3 dzieciach;Rozwody przy >=4 dzieciach;Rozwody z powodu niedochowania wiernosci;Rozwody z powodu naduzycia alkoholu;Rozwody z powodu naganndego stosuknu do czlonkow rodziny;Rozwody z powodu trudnosci mieszkaniowych;Rozwody z powodu nieporozumien na tle finansowym;Rozwody z powodu niezgodnosci charakterow;Rozwody z powodu niedoboru seksualnego;Rozwody z powodu dluzszej nieobecnosci;Rozwody z powodu roznic swiatopogladowych
DOLNOSLASKIE;2002;146;2912218;13619;8901;1243;6202;3603;1121;600;670;225;4348;5174;2094;703;847;3890;3905;5020;660;457;1005;1595;1325;638;181;804;1692;1505;838;2165,84;414722;108;1,129;9,8;1809;2060;934;178;39;719;598;270;17;159;1330;26;33;4
KUJAWSKO-POMORSKIE;2002;115;2066704;10513;7514;1115;5249;2716;756;328;349;219;3808;4106;1441;396;449;4198;4155;2788;438;266;651;864;721;286;114;524;958;813;379;1953,39;300035;107;1,287;8,5;961;1185;507;101;34;444;337;260;12;111;1028;25;10;0
LUBELSKIE;2002;87;2185654;11842;9261;1370;6125;3126;798;210;214;305;4332;4849;1584;376;315;6232;6387;2019;493;148;407;712;504;248;53;304;783;544;335;1941,01;348886;106;1,333;7,8;697;791;395;96;40;138;213;151;4;54;850;10;0;0
LUBUSKIE;2002;72;1007131;4442;2975;389;2059;1264;328;188;211;62;1404;1780;625;228;261;1503;1518;1479;305;125;309;472;410;163;39;247;527;441;225;1936,54;134453;106;1,226;7,4;520;571;306;65;17;186;108;71;5;24;395;4;0;0
LODZKIE;2002;143;2605310;12900;9516;1153;6258;3744;981;392;484;264;4469;5171;1748;503;618;4648;4786;3533;448;286;731;1205;880;431;95;589;1269;1027;553;1966,22;423136;110;1,183;8;1334;1490;577;107;25;451;402;97;17;127;910;19;5;0
MALOPOLSKIE;2002;214;3249117;16993;13644;1694;8483;4543;1285;363;336;342;5971;6929;2581;512;511;8513;8669;2492;511;184;489;840;661;318;64;376;895;721;436;2060,99;479017;106;1,34;6,8;994;960;433;81;24;312;166;190;8;67;547;24;14;0
MAZOWIECKIE;2002;144;5120420;26141;19292;2434;11887;7207;2122;803;928;433;8504;10304;4057;1175;1326;9556;9617;5855;766;459;1225;1839;1581;751;164;932;2036;1663;1060;2893,83;988217;108;1,237;6,4;2531;2213;905;156;50;572;413;139;20;103;2311;40;4;1
OPOLSKIE;2002;113;1063541;4756;3203;592;2237;1188;356;132;163;115;1637;1895;659;201;191;2064;2128;1122;249;113;223;369;306;111;43;186;414;318;161;2029,99;137660;106;1,053;5,3;394;460;208;40;20;144;119;70;5;30;512;5;9;0
PODKARPACKIE;2002;117;2087954;11097;9003;1237;5869;2866;732;176;187;261;4187;4572;1450;274;256;6468;6555;1677;469;160;349;543;438;187;83;265;586;493;250;1875,41;297543;104;1,36;6,9;548;694;308;91;36;180;152;103;2;43;519;16;30;0
PODLASKIE;2002;60;1211221;6024;4643;623;2821;1676;491;142;130;119;1995;2415;1020;229;186;2376;2668;1325;229;105;235;446;369;170;41;180;471;406;227;1958;183268;104;1,308;7,2;473;459;291;76;26;125;154;68;0;24;423;2;10;0
